1170	CAMKMT
1171	CAMKV
1172	CAMLG
1173	CAMP
1174	CAMSAP1
1175	CAMSAP2
1176	CAMSAP3
1177	CAMTA1
1178	CAMTA2
1179	CAND1
1180	CAND2
1181	CANX
1182	CAP1
1183	CAP2
1184	CAPG
1185	CAPN1
1186	CAPN10
1187	CAPN11
1188	CAPN12
1189	CAPN15
1190	CAPN2
1191	CAPN3
1192	CAPN5
1193	CAPN6
1194	CAPN7
1195	CAPN9
1196	CAPNS1
1197	CAPNS2
1198	CAPRIN2
1199	CAPZA1
1200	CAPZA2
1201	CAPZA3
1202	CAPZB
1203	CARD10
1204	CARD11
1205	CARD14
1206	CARD16
1207	CARD17
1208	CARD18
1209	CARD6
1210	CARD8
1211	CARD9
1212	CARHSP1
1213	CARM1
1214	CARMIL1
1215	CARMIL2
1216	CARTPT
1217	CASC3
1218	CASK
1219	CASP1
1220	CASP10
1221	CASP12
1222	CASP14
1223	CASP2
1224	CASP3
1225	CASP4
1226	CASP5
1227	CASP6
1228	CASP7
1229	CASP8
1230	CASP8AP2
1231	CASP9
1232	CASQ2
1233	CASR
1234	CASS4
1235	CAST
1236	CASZ1
1237	CAT
1238	CATSPER1
1239	CATSPER2
1240	CATSPER3
1241	CATSPER4
1242	CATSPERB
1243	CATSPERD
1244	CATSPERG
1245	CAV1
1246	CAV2
1247	CAV3
1248	CBFA2T2
1249	CBFA2T3
1250	CBFB
1251	CBL
1252	CBLB
1253	CBLC
1254	CBLL1
1255	CBLN1
1256	CBR1
1257	CBS
1258	CBSL
1259	CBX1
1260	CBX2
1261	CBX3
1262	CBX4
1263	CBX5
1264	CBX6
1265	CBX7
1266	CBX8
1267	CBY1
1268	CC2D1A
1269	CC2D2A
1270	CCAR1
1271	CCAR2
1272	CCDC124
1273	CCDC130
1274	CCDC155
1275	CCDC22
1276	CCDC28B
1277	CCDC47
1278	CCDC59
1279	CCDC6
1280	CCDC8
1281	CCDC85B
1282	CCDC88A
1283	CCDC88C
1284	CCDC93
1285	CCK
1286	CCKAR
1287	CCKBR
1288	CCL1
1289	CCL11
1290	CCL13
1291	CCL14
1292	CCL15
1293	CCL16
1294	CCL17
1295	CCL18
1296	CCL19
1297	CCL2
1298	CCL20
1299	CCL21
1300	CCL22
1301	CCL23
1302	CCL24
1303	CCL25
1304	CCL26
1305	CCL27
1306	CCL28
1307	CCL3
1308	CCL4
1309	CCL5
1310	CCL7
1311	CCL8
1312	CCM2
1313	CCNA1
1314	CCNA2
1315	CCNB1
1316	CCNB2
1317	CCNB3
1318	CCNC
1319	CCND1
1320	CCND2
1321	CCND3
1322	CCNE1
1323	CCNE2
1324	CCNF
1325	CCNG1
1326	CCNG2
1327	CCNH
1328	CCNK
1329	CCNL1
1330	CCNL2
1331	CCNO
1332	CCNT1
1333	CCNT2
1334	CCNY
1335	CCNYL1
1336	CCP110
1337	CCR1
1338	CCR10
1339	CCR2
1340	CCR3
1341	CCR4
1342	CCR5
1343	CCR6
1344	CCR7
1345	CCR8
1346	CCR9
1347	CCRL2
1348	CCS
1349	CCT2
1350	CCT3
1351	CCT4
1352	CCT5
1353	CCT6A
1354	CCT6B
1355	CCT7
1356	CCT8
1357	CCZ1B
1358	CD101
1359	CD109
1360	CD14
1361	CD151
